,followers,following,accountreputation,CDFx,CDFy
202,397,175,0.694055944056,0.670870870871,0.878260869565
203,6526,1225,0.841955876661,0.671030484384,0.882608695652
204,2339,2055,0.53231679563,0.673076923077,0.886956521739
205,18527,4864,0.792056773973,0.688172043011,0.891304347826
206,135578,31130,0.813266309955,0.690405904059,0.895652173913
207,25993,27977,0.481619418195,0.694055944056,0.9
208,7,25,0.21875,0.707792207792,0.904347826087
209,226,1239,0.154266211604,0.710557532622,0.908695652174
210,701,1870,0.27265655387,0.727071240106,0.913043478261
211,122,1130,0.0974440894569,0.731977818854,0.917391304348
212,56508,32250,0.636652470763,0.739947780679,0.921739130435
213,2164,2071,0.510979929162,0.749826268242,0.926086956522
214,395,1466,0.2122514777,0.752411575563,0.930434782609
215,42,114,0.269230769231,0.753205128205,0.934782608696
216,7389,6825,0.519839594766,0.753205128205,0.939130434783
217,345,191,0.643656716418,0.753205128205,0.94347826087
218,3588,1759,0.671030484384,0.754721120157,0.947826086957
219,13881,13758,0.502225116683,0.760863769661,0.952173913043
220,2180,2405,0.47546346783,0.768934531451,0.95652173913
221,1104,1268,0.465430016863,0.773356401384,0.960869565217
222,1317,1841,0.417036098797,0.792056773973,0.965217391304
223,1257,728,0.633249370277,0.813266309955,0.969565217391
224,339,1774,0.160435399905,0.828185328185,0.973913043478
225,728,1917,0.275236294896,0.831482375664,0.978260869565
226,861,1178,0.422265816577,0.841955876661,0.982608695652
227,235,77,0.753205128205,0.863436123348,0.986956521739
228,235,77,0.753205128205,0.871067683508,0.991304347826
229,235,77,0.753205128205,0.920376866292,0.995652173913
